Propriedade,Tags,Responsável,Projeto,Status,Prioridade,Prazo,Agrupando Por :,Tarefa principal,Descrição
Tempo de Ciclo do Pedido de Compra,,,,Não iniciado,,,,,
Custo médio de processamento de um pedido de compra,,,,Não iniciado,,,,,
Ordens de compra processadas eletronicamente,,,,Não iniciado,,,,,
Número de Fornecedores Ativos,,,,Não iniciado,,,,,
Capacidade do Fornecedor,,,,Não iniciado,,,,,
Taxa de conformidade do fornecedor,,,,Não iniciado,,,,,
Prevenção de Custos,,,,Não iniciado,,,,,
Redução de Custos,,,,Não iniciado,,,,,
ROI Total de Aquisição,,,,Não iniciado,,,,,
Curva ABC,,,,Não iniciado,,,,,
Satisfação do cliente,,,,Não iniciado,,,,,
Aplicativo Venda,,,,Não iniciado,,,KPI Desconto (Tarefas%2035631d51a2bd48b992678042ebb44814/KPI%20Desconto%2036540b7ea6f94d11b999dd8577b71263.csv),,
Volume de Notas Emitidas,,,,Não iniciado,,,"Por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Funciona%CC%81rio%2020efacdf5774460c966a444263285f53.csv), Por Serviço (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Servic%CC%A7o%202bb61e3a44a049e1a0038152ffb2c84f.csv), Por Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Cliente%204804f04f124a40da83aae5ad80356099.csv)",,Total de notas fiscais emitidas em um período específico.
Volume de Notas Emitidas,,,,Não iniciado,,,"Por Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Cliente%20bee0b978b5964a299fd3590edb9f593c.csv), Por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Funciona%CC%81rio%20dd38854738fb4f78a063fdd237ea4250.csv), Por Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Produto%201e94b633256044c68358a0c5fe452a25.csv), Por Transação (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Transac%CC%A7a%CC%83o%20df885ee9d99047529b7fe94308b54ced.csv)",,Quantidade de notas fiscais emitidas no período.
Taxa de Notas Fiscais Rejeitadas,,,,Não iniciado,,,"Por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Funciona%CC%81rio%20555bd85e1c3844fc843f3f60ef8db3f1.csv), Por Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Cliente%20dc49a8616773431881ae5172d39f9e45.csv), Por Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Produto%20d379b1fd60e04b4793bd3da4c397bc4e.csv), Por Transação (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Transac%CC%A7a%CC%83o%20da179c9fa6024d4bb210f7a54333f6bf.csv)",,Percentual de notas fiscais rejeitadas em relação ao total de notas fiscais emitidas.
"Volume de Notas Emitidas ",,,,Não iniciado,,,"Por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Funciona%CC%81rio%205ab1eea92b7b4d93ab5c7bce79ef3d45.csv), Por Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Cliente%20a615810ccf8c4d6d86bae66c40882093.csv), Por Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Produto%20747a7f1ca68e442fb78bc87dd191aeb7.csv)",,Quantidade de notas fiscais emitidas para consumidores finais num determinado período.
Valor Total das Notas Emitidas,BI,,,Não iniciado,,,"Por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Funciona%CC%81rio%2043b9392c0538403796ffd77518f98124.csv), Por Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Cliente%202c13ca46aede4decacf679aca57b9936.csv), Por Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Produto%20b5943661cf1b4a239b8f02b733ce4897.csv)",,Valor monetário somado de todas as notas fiscais emitidas para consumidores finais em um determinado período.
Taxa de Erros de Registro,,,,Não iniciado,,,Por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Funciona%CC%81rio%20dc1c2c2950a249cd8c313ae0e233cfd0.csv),,Mensura a precisão e a confiabilidade dos registros de ponto dos funcionários.
Taxa de Ausências Não Justificadas,Revisar,,,Não iniciado,,,"Por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Funciona%CC%81rio%20dd6a3e7ba65f4a489299fa48992a4c6c.csv), Por Setor (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Setor%202f4df9c9c6f94f52b88800808b914af8.csv)",,Monitora e gerencia os níveis de faltas não justificadas dos funcionários
Taxa de Ocorrências de Horas Extras,,,,Não iniciado,,,"Por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Funciona%CC%81rio%200d4242ca56114fc086bfabe3967ec91d.csv), Por Setor (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Setor%200bf9b111b9d14feeb56714ff8a2d6265.csv)",,Monitora a frequência com que os funcionários realizam horas extras.
"Taxa de Pontualidade ",,,,Não iniciado,,,"Por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Funciona%CC%81rio%2068b28826e1fd4e3ea7fa7ea3d7a29935.csv), Por Setor (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Setor%20190c6b06f96d40ccb1857c218dd44e71.csv)",,Mede a regularidade com que os colaboradores chegam no horário estipulado.
Valor Total de Perda,BI,,,Não iniciado,,,"Por Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Produto%20de36310e465844df913ed2b63d3873e7.csv), Por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Funciona%CC%81rio%207b145ad226fd4797b5975e790d236a0e.csv), Por Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Fornecedor%208493e52e87614958b5d1a18cf7d49f0c.csv), Por Motivo (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Motivo%20a230ec35344745038a6a7fe8d1d2b72b.csv)",,Valor  total das perdas ocorridas no estoque da empresa.
Volume de Vendas,,,,Não iniciado,,,"Por Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Produto%2065a27b5c8b6b42248b8938d3cd5770fd.csv), Por Fornecedor (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Fornecedor%20f49d37611e024c488cb60cc379f4c0ae.csv), Por Cliente (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Cliente%20c176563d64d64e8eb1942d8914ead4c7.csv)",,Quantidade de produtos vendidos de um determinado lote em um período específico
Média de Produtos por impressão,,,,Não iniciado,,,Por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Por%20Funciona%CC%81rio%20b8ab02699247421abdeb25a38b42dfbb.csv),,Número médio de etiquetas de códigos de barras impressas por operação ou lote de impressão.
"Arrumar na venda a escolha da coluna que vai ser filtrada, botão do lado da escolha do produto",,,Projeto: educação de usuários (https://www.notion.so/Projeto-educa-o-de-usu-rios-e8c8fe4bc96a464287aeb537ec9cbdca?pvs=21),Não iniciado,,,,,
"As Configurações de api do documentos anexos, tem que estar on-line",,,Projeto: educação de usuários (https://www.notion.so/Projeto-educa-o-de-usu-rios-e8c8fe4bc96a464287aeb537ec9cbdca?pvs=21),Não iniciado,,,,,
Fazer configuração para saber qual pasta da versão e qual banco do cliente,,,Projeto: educação de usuários (https://www.notion.so/Projeto-educa-o-de-usu-rios-e8c8fe4bc96a464287aeb537ec9cbdca?pvs=21),Não iniciado,,,,,
"Criar rota nova para Dashbords locais, se o cliente tiver a versão compatível acessar o módulo",,,Projeto: educação de usuários (https://www.notion.so/Projeto-educa-o-de-usu-rios-e8c8fe4bc96a464287aeb537ec9cbdca?pvs=21),Não iniciado,,,,,
Fazer o css da devexpress,,Wagner Rocha Araújo,Projeto: educação de usuários (https://www.notion.so/Projeto-educa-o-de-usu-rios-e8c8fe4bc96a464287aeb537ec9cbdca?pvs=21),Não iniciado,,27 de maio de 2023,,,
Analisar os resultados da pesquisa,,Wagner Rocha Araújo,Projeto: educação de usuários (https://www.notion.so/Projeto-educa-o-de-usu-rios-e8c8fe4bc96a464287aeb537ec9cbdca?pvs=21),Não iniciado,,7 de junho de 2023,,,
Erros,,,WR2zap (https://www.notion.so/WR2zap-cdb2db989d2243c59ddab9656e6db0ea?pvs=21),Em andamento,,,"Não está enviando mensagem de Saudações (Biro Erre) (Tarefas%2035631d51a2bd48b992678042ebb44814/Na%CC%83o%20esta%CC%81%20enviando%20mensagem%20de%20Saudac%CC%A7o%CC%83es%20(Biro%20%20f96282eb88fb49eaadcbe4e54e2ecbf5.csv), Quando iniciado um chat por parte do atendente a mensagem só aparece após o cliente responder (Biro Erre) (Tarefas%2035631d51a2bd48b992678042ebb44814/Quando%20iniciado%20um%20chat%20por%20parte%20do%20atendente%20a%20m%206bf74d2769d146c6a0f89c5b47e293b5.csv), Mensagens aparecendo apenas no Whatsapp Original (Tarefas%2035631d51a2bd48b992678042ebb44814/Mensagens%20aparecendo%20apenas%20no%20Whatsapp%20Original%209dcc160ba78942699a34ab0ffa910a9f.csv)",,
Sugestões,,,WR2zap (https://www.notion.so/WR2zap-cdb2db989d2243c59ddab9656e6db0ea?pvs=21),Em andamento,,,"Fechamento do ticket após um período de inatividade com mensagem de finalização. (Tarefas%2035631d51a2bd48b992678042ebb44814/Fechamento%20do%20ticket%20apo%CC%81s%20um%20peri%CC%81odo%20de%20inativid%20f1c8356c2ee24d1788207aac3aa35c20.csv), Usuários normais ter a opção de espiar mensagens e ver todas as mensagens. (Tarefas%2035631d51a2bd48b992678042ebb44814/Usua%CC%81rios%20normais%20ter%20a%20opc%CC%A7a%CC%83o%20de%20espiar%20mensagen%2076aa887186294fa49052ae5d476d22be.csv), Corretor Ortográfico (Tarefas%2035631d51a2bd48b992678042ebb44814/Corretor%20Ortogra%CC%81fico%20e4e6c46704164a9695878849f363d5c5.csv), Marcar que já foi feito o download do arquivo (Tarefas%2035631d51a2bd48b992678042ebb44814/Marcar%20que%20ja%CC%81%20foi%20feito%20o%20download%20do%20arquivo%20c4ddccc772244f818f2a15abf218c633.csv), Mostrar quem atendeu o ultimo ticket para aquele numero (Tarefas%2035631d51a2bd48b992678042ebb44814/Mostrar%20quem%20atendeu%20o%20ultimo%20ticket%20para%20aquele%20n%20ed5a66d940494d228ac3563c84668803.csv)",,
Mostrar quem atendeu o ultimo ticket para aquele numero,,,WR2zap (https://www.notion.so/WR2zap-cdb2db989d2243c59ddab9656e6db0ea?pvs=21),Não iniciado,,,,Sugestões (Tarefas%2035631d51a2bd48b992678042ebb44814/Sugesto%CC%83es%20666dd47d34fc4e2295e22e1f68c21c03.csv),
Marcar que já foi feito o download do arquivo,,,WR2zap (https://www.notion.so/WR2zap-cdb2db989d2243c59ddab9656e6db0ea?pvs=21),Não iniciado,,,,Sugestões (Tarefas%2035631d51a2bd48b992678042ebb44814/Sugesto%CC%83es%20666dd47d34fc4e2295e22e1f68c21c03.csv),
Corretor Ortográfico,,,WR2zap (https://www.notion.so/WR2zap-cdb2db989d2243c59ddab9656e6db0ea?pvs=21),Não iniciado,,,,Sugestões (Tarefas%2035631d51a2bd48b992678042ebb44814/Sugesto%CC%83es%20666dd47d34fc4e2295e22e1f68c21c03.csv),
Usuários normais ter a opção de espiar mensagens e ver todas as mensagens.,,,WR2zap (https://www.notion.so/WR2zap-cdb2db989d2243c59ddab9656e6db0ea?pvs=21),Não iniciado,,,,Sugestões (Tarefas%2035631d51a2bd48b992678042ebb44814/Sugesto%CC%83es%20666dd47d34fc4e2295e22e1f68c21c03.csv),
Fechamento do ticket após um período de inatividade com mensagem de finalização.,,,WR2zap (https://www.notion.so/WR2zap-cdb2db989d2243c59ddab9656e6db0ea?pvs=21),Não iniciado,,,,Sugestões (Tarefas%2035631d51a2bd48b992678042ebb44814/Sugesto%CC%83es%20666dd47d34fc4e2295e22e1f68c21c03.csv),
Mensagens aparecendo apenas no Whatsapp Original,,,WR2zap (https://www.notion.so/WR2zap-cdb2db989d2243c59ddab9656e6db0ea?pvs=21),Não iniciado,,,,Erros (Tarefas%2035631d51a2bd48b992678042ebb44814/Erros%20921ff05dcbfe460b8b53744d20e2ac0f.csv),
Quando iniciado um chat por parte do atendente a mensagem só aparece após o cliente responder (Biro Erre),,,WR2zap (https://www.notion.so/WR2zap-cdb2db989d2243c59ddab9656e6db0ea?pvs=21),Não iniciado,,,,Erros (Tarefas%2035631d51a2bd48b992678042ebb44814/Erros%20921ff05dcbfe460b8b53744d20e2ac0f.csv),
Não está enviando mensagem de Saudações (Biro Erre),,,WR2zap (https://www.notion.so/WR2zap-cdb2db989d2243c59ddab9656e6db0ea?pvs=21),Não iniciado,,,,Erros (Tarefas%2035631d51a2bd48b992678042ebb44814/Erros%20921ff05dcbfe460b8b53744d20e2ac0f.csv),
Métricas para utilizar o KPI?,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Retorno de Produtos Defeituosos (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Retorno%20de%20Produtos%20Defeituosos%20ea0c4c23b69d4447848dddbba4f1ac3b.csv),
Prós,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Retorno de Produtos Defeituosos (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Retorno%20de%20Produtos%20Defeituosos%20ea0c4c23b69d4447848dddbba4f1ac3b.csv),
Contras,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Retorno de Produtos Defeituosos (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Retorno%20de%20Produtos%20Defeituosos%20ea0c4c23b69d4447848dddbba4f1ac3b.csv),
Onde visualizar a informação?,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Retorno de Produtos Defeituosos (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Retorno%20de%20Produtos%20Defeituosos%20ea0c4c23b69d4447848dddbba4f1ac3b.csv),
Qual a utilidade do KPI?,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Retorno de Produtos Defeituosos (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Retorno%20de%20Produtos%20Defeituosos%20ea0c4c23b69d4447848dddbba4f1ac3b.csv),
Onde configurar o KPI?,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Retorno de Produtos Defeituosos (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Retorno%20de%20Produtos%20Defeituosos%20ea0c4c23b69d4447848dddbba4f1ac3b.csv),
Relatórios disponíveis?,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Retorno de Produtos Defeituosos (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Retorno%20de%20Produtos%20Defeituosos%20ea0c4c23b69d4447848dddbba4f1ac3b.csv),
Requisitos para utilizar?,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Retorno de Produtos Defeituosos (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Retorno%20de%20Produtos%20Defeituosos%20ea0c4c23b69d4447848dddbba4f1ac3b.csv),
Necessidades do Desenvolvimento?,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,Taxa de Retorno de Produtos Defeituosos (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Retorno%20de%20Produtos%20Defeituosos%20ea0c4c23b69d4447848dddbba4f1ac3b.csv),
KPI Desconto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,," Manual (Tarefas%2035631d51a2bd48b992678042ebb44814/Manual%20b3417b0826ab42edba53a267806b0b06.csv),   (Tarefas%2035631d51a2bd48b992678042ebb44814/Sem%20t%C3%ADtulo%20100f7e77c2074601a541537ee0683d30.csv)",Aplicativo Venda (Tarefas%2035631d51a2bd48b992678042ebb44814/Aplicativo%20Venda%20bba09d011d8b4ed4aad98e7dd09b19c0.csv),
" ",,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,,KPI Desconto (Tarefas%2035631d51a2bd48b992678042ebb44814/KPI%20Desconto%2036540b7ea6f94d11b999dd8577b71263.csv),
Aplicativo Sintegra,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,Correções Pendentes (Tarefas%2035631d51a2bd48b992678042ebb44814/Correc%CC%A7o%CC%83es%20Pendentes%208a76a2438e20483791b2f08a4f85014d.csv),Módulo Contábil (Tarefas%2035631d51a2bd48b992678042ebb44814/Mo%CC%81dulo%20Conta%CC%81bil%205a1670466a984420895aef7a34b0b0d9.csv),
Aplicativo Ficha-Ponto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Tempo Médio de Aprovação de Ponto (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Me%CC%81dio%20de%20Aprovac%CC%A7a%CC%83o%20de%20Ponto%204e6a4d9dc2ae48f2855065f9c4f965af.csv), Taxa de Erros de Registro (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Erros%20de%20Registro%202ba87d4d3d8448afacd9d2aba3399254.csv), Taxa de Ausências Não Justificadas (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Ause%CC%82ncias%20Na%CC%83o%20Justificadas%20c22b0e8801c1480596dd69d5c6be2c35.csv), Taxa de Ocorrências de Horas Extras (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Ocorre%CC%82ncias%20de%20Horas%20Extras%200016aa10c5134fa9880d004998c72902.csv), Taxa de Pontualidade  (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Pontualidade%20056f0125cd3f453faa103dd26f9a15a4.csv), Taxa de Conformidade com Escalas (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Conformidade%20com%20Escalas%208df254a88a7a433fba2bda1b7d4747d4.csv), Taxa de Funcionários sem Horário Definido (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Funciona%CC%81rios%20sem%20Hora%CC%81rio%20Definido%20b7d27a138b984a30a290371bf7dd6d73.csv), Taxa de Ausências Justificadas (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Ause%CC%82ncias%20Justificadas%20d9e0008e54f64b70bcb902a484a8ab77.csv), Taxa de Lançamentos Manuais (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Lanc%CC%A7amentos%20Manuais%2034508b8f60774ceebd37147e12abfad0.csv), Taxa de Horas Faltas (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Horas%20Faltas%206f082257ba544e1b9f3439e5beab7618.csv)",Módulo RH (Tarefas%2035631d51a2bd48b992678042ebb44814/Mo%CC%81dulo%20RH%201211c4fa96ec46e4b7495c2d05008668.csv),
Aplicativo Funcionários,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Custo por Contratação (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20por%20Contratac%CC%A7a%CC%83o%20892ffbe5b20b4f7b890f7511a513e444.csv), Taxa de Rotatividade de Funcionários (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Rotatividade%20de%20Funciona%CC%81rios%20e850821a6f4a43e8a654e47176100678.csv), Taxa de Retenção de Funcionários (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Retenc%CC%A7a%CC%83o%20de%20Funciona%CC%81rios%2086a05896158f4417992a9b7707ef1d55.csv), Taxa de Absenteísmo (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Absentei%CC%81smo%2018d051166b7f464a806f6355289b6e89.csv), Horas de Treinamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Horas%20de%20Treinamento%2036b362ca4dcb4f3286afc63ec6c81f8f.csv), Custo Médio por Funcionário (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20Me%CC%81dio%20por%20Funciona%CC%81rio%200661b6627a40428a9fece0c8fcc5e8ac.csv), Taxa de Utilização de Benefícios (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Utilizac%CC%A7a%CC%83o%20de%20Benefi%CC%81cios%2006d4e9c463054d99b996c5811f3edf3c.csv), Taxa de Acidentes de Trabalho (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Acidentes%20de%20Trabalho%206bae7317e3dc497e8752a5dca183d73e.csv), Ferramentas Vinculadas (Tarefas%2035631d51a2bd48b992678042ebb44814/Ferramentas%20Vinculadas%208754aee9f803434687689a5a3e31f7b8.csv), Taxa de Atualização Salarial (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Atualizac%CC%A7a%CC%83o%20Salarial%206f5ef40c29954e71878266c20cde5506.csv), Taxa de Pensão Alimentícia (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Pensa%CC%83o%20Alimenti%CC%81cia%200577b73b4d2a4066b3ee7db5559a7486.csv), Taxa de Atualização de Função (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Atualizac%CC%A7a%CC%83o%20de%20Func%CC%A7a%CC%83o%20eaf211131b3840108b1687aa13d34d3d.csv), Taxa de Férias Concedidas (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Fe%CC%81rias%20Concedidas%20136b8147d5324618b07f367b9f955cac.csv), Taxa de Funcionários com Dependentes (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Funciona%CC%81rios%20com%20Dependentes%20597c53780ee140feac8f2cf2fb478261.csv), Custo Total de Funcionários (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20Total%20de%20Funciona%CC%81rios%20704c88dae26047cd8ebd3e5751a36361.csv)",Módulo RH (Tarefas%2035631d51a2bd48b992678042ebb44814/Mo%CC%81dulo%20RH%201211c4fa96ec46e4b7495c2d05008668.csv),
Aplicativo Múltiplos Estoques,"Despesa, Saldo",,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Acuracidade do Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Acuracidade%20do%20Estoque%20e3459851f3604c4f93771c43d02f19b9.csv), Taxa de Giro de Estoque  (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Giro%20de%20Estoque%2046187acfa08641a7ad8983f9ea4807a3.csv), Tempo Médio de Transferência (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Me%CC%81dio%20de%20Transfere%CC%82ncia%20fad411de82de4593bd927c30ccff4879.csv), Custo Médio de Armazenamento  (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20Me%CC%81dio%20de%20Armazenamento%203018bebd65c740f3a7978e9061f602cb.csv), Valor Total de Perda (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Perda%2047624125500344a18bb197fa86fe5d9c.csv), Taxa de Pedidos Atendidos (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Pedidos%20Atendidos%20717e683b9ec84102a9b78ddce60a775c.csv), Taxa de Devoluções (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Devoluc%CC%A7o%CC%83es%200fe1fdbfe2f3436484c16d0ddb5023a4.csv), Nível de Estoque Mínimo (Tarefas%2035631d51a2bd48b992678042ebb44814/Ni%CC%81vel%20de%20Estoque%20Mi%CC%81nimo%20959c436525c74956b8f7ff9b071f35dd.csv), Nível de Estoque Máximo (Tarefas%2035631d51a2bd48b992678042ebb44814/Ni%CC%81vel%20de%20Estoque%20Ma%CC%81ximo%20476be4cc069e4b65b76ea5bf544c2988.csv), Taxa de Ruptura de Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Ruptura%20de%20Estoque%20249263562f8647c4a64085a38a7de9cf.csv), Custo de Transferência entre Locais (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20de%20Transfere%CC%82ncia%20entre%20Locais%20f3c01ef50b5a4eb4b15dc789727f049a.csv), Taxa de Utilização de Espaço de Armazenamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Utilizac%CC%A7a%CC%83o%20de%20Espac%CC%A7o%20de%20Armazenamento%20930eece4b1bc437c92effa8c9af1b0d5.csv), Valor Total de Estoque  (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Estoque%20beaf8a9b806e412ab73bf880c8472aa6.csv), Taxa de Perdas (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Perdas%20382daae0f0e7445faed38c452a2f724f.csv)",Módulo Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Mo%CC%81dulo%20Estoque%2057c521e5356048fd955bdddfeedec937.csv),
